n,score,ratio,iterations,moves
47,112,"2.38",51500,"ccccrcrrccrcrrcrrtccccrrrrcrccccrrcrrcrrtcrcrrrcrrrcrcrrcrtrcrcrcrrrttcrcrtrrrrrccrcrrrrrrrcrcccrrccrrrcrtrrrcrccrrtrrrcrcrtrrrrtrrrcrtrrtrttrrtrrrrtrrtrttttttrtrrtrtrrtrtrtrtrttrrtttrrrtrrrtrttrtttrtrttrtt"
48,116,"2.42",53000,"ccccrrcccccrrccrrrrcrrcrrcrcrcrtrcrrcrrccrrtrcrrcrccccrcrrrrccccrrrrrrtrttcrrrtrtrrcrtccrrcrrcrccrrcrrcrtccrrrtrrrcrrrrcrcrcrtrrrtrrtrrrrrtrrrrtrrcrtrtrtrtrrttrtrtrrtrtrrtttrrtrtrttrtrrrrtrtttrrtrrttrtrtrtttrtrtt"
49,106,"2.16",51000,"ccccrccccrrcrrrrrcrcrcrcrcrcrtrcrrrrcrcrrcrcrrcrcrcccrrcrccrrcrrtrrccrccrcrcrcrcrrrccrrrcrcccccrcrrrrrrcrcrtrrrrcrtrtrrtrrtrtttrrrrrrrtrrrtrtrtrrtttttttrrrtrtrrrrtrtttrtttrrttrrrrrttttttrtttrtrtrtrrtttrtt"
50,114,"2.28",53500,"cccrcrrccrrtrcrtrcccrrccrrrrccrrrccrcrccrrrcrtcrcrcrcrrrcrtrccrcccrrcrcrrrrrcccrcrrrcrtrrrrrccrcccrrcrrrcrccrrtrrrtrtrrrcrtrrcrcrtrrtrrrcrtrtrrrrrttrrrrrrtttrttrrrrttttttrrttrrrtrttttrrtrrttttrrrttrrtrtttrtrttrtrtt"
51,115,"2.25",54250,"cccccccrrrrrcrrcrtrcccrcrrrtcrrrrccccrrcrcccrrrrrcccrrrcrtccrcrrcrrcrrrrcccrrrcrtrcrcrccrrcrrccrrrtrtrcrtrtrcrrrrtrcrcrccrrtrrrrrcrtrrrcrcrtrrtrtrrtrrrrtrrrtrtttrtrttrrrtrttrrtrrtttttrrrrrrrtrtttttrtttrrrttttrtrtrtttt"
52,124,"2.38",57000,"ctccccrrcrrtcrcccrcrrrcrtrrrcrcrrcrtccrcrrrrtcrtrrcrrrcccrrrtrrtccrrrrcrtrrcrrcrcrtcrcrrrccrrcrcrccrrcrtrcrcrcrcrrrrcrrrrtcrrcrrccrrtrcrrrcrrcrtrrrcrtrrrtrrcrtrtrtrtrrtrrrrtrttrrttrrrrtrrtrrtrrtttrrrttrtrtrrrrrrttttttttttrtttttt"
53,118,"2.23",56000,"ccrccrccccrccrcrcrrrrrccccrccrccrrrccrcrrcrrrrcrcrrtcrrcrtccrrrcrtcrrrrrcrrrrccrcccrcrccrrrccrcrrrrcrcrtrrrccrrtrrrcrtrrtrrccrcrrtrtrrrrcrtrtrtrtrrrrrtrtrrrrttrrttrttrrttttrrtrtrtrrtrttrtttrrrrttrrtrrrtttrttrrtttrttrtttrrttt"
54,122,"2.26",57500,"ccrccrrcrtccccrcrrrccccrrrrrcccrccccrrrrrrrcrrccrrtccccrrrrrtrrcrcccccrccrrcrcrrrrrcrcrrttrrrrcrrccrrrcrccrrtrcrrrcrrtrcrcrtrcrrrcrrcrtrtrrtrrrrcrtrrtrttrrrrrtrrttrtrtrttrrrtrrttrtrtrttrtrrtrtrtrrrrttrttttrtttrttrrtrtttrtrrrtttrtt"
55,127,"2.31",59250,"ccrcccrrrcrcrcrtccrrccrrrcrrrrcrcrcrcrcrtrcrrcccrccccrcrrccrrrcrrrcrrcrcrrrccccccrccrrrrrrcrrrtrrcrtrcrrttrrrccrcrcrrtrrrcrcrtrrrcrrcrtrrcrcrtrrtrrrrcrtrtrrrtrrrrtrtrrrrtrrtttrrtrrttrrtrrtrrtttrttttttrrtrtrtrtrrttrtttrttrrrttttrttrtrtrtt"
56,127,"2.27",59750,"cccrccrcrrcccrcrrcccrcrrrrrtcrccrrcrtrcrrrrcrrcrtcrcrcrrtcrrrrcccrrcrcrrcrcrcrrtcrtrrcrccrrcrccrrrrcrrtrcrrrrtrcccrrrrcrcccrrrcrtrcrrrtccrrrcrrtrcrrtrrcrtrtrtrrrrtrrrttttrrrtrrrrtttttrrrrrtrttttrtrrrrrtrtttrtttrttttrrrtrttrrtrrrtrttttrtttt"
