n,score,ratio,iterations,moves
82,173,"2.11",168500,"ccccrrcrcccrcrrcccrccccrrcrccrcrrrcrrccrcrrcccrrcrcrcccrccrrrcrcrrcrrrccrrcccccrrccrrrcrrrrccccrrrrcrrrcccrccrrrrtcrcrrtccccrrrrcrcrcrccrccrcrrrrrrcrcrcrtrcccrrrrcrrrcrcrtcrrrtrrtrrrrrtrrcrtrtrtrrrrtrrrrttrrtrrrtrtttrrttttrrtttrrrrrtrttttrrrtrrttrtttttrttrtrrtrrtrttrtttrrtrtrttrtrrrrrrrrrtrrttrttttrtrtrtttttrrttrrtttrrrtrrttrtrtttrtrtt"
83,194,"2.34",180000,"cccrcrcccrrrrttccrcrrrcrrtccrcccrrrrcccrrrcrtrrrcrcrrccccrcccrcrcccccccrrrrccccrcrcrrrrrrrrrrrcrrcrtrrrrcrcrcrcrtrcrcccrrcrrcrcrcrrccrrrrrttcrrrrccrrtrccccrrrrtrrcrtrrrrrrcrtcrrrcrrrcrtrcrcrtcrrrrcrrccrrtrrccrrcrtrrtrrrrrrcrrcrtrrcrtrtrrrtrrrtrtrrrrtrtrrttrtrrrtttrtrtrrtrtrtrttrtrtrrrttttttrrrtrrtrrrrrrtttrrtrttttttrtttrrrttrtrtrtttrttrtrrtrtrttrtrrttrrttttt"
84,179,"2.13",173500,"ctcccrrcrtccccccrrcrrcrrccrrcrccrcccccrcrrcrrcccrrrccrccrcrcrcccccrrrrrrrcrccrrccrrrccccrrcrrcrrrrrrrtrcrtrcrtrrtcrcrcccrrcrrrtcrrrrrtrrcrccrrcrtrcrrrrrtrcrcrtrcrcrcrcrcrrcrcrcrcccrrrtrrrcrrcrrtrrtrcrccrcrrrcrtrtrrrrtrrrttrrtrrrrrrtrrtrrttttrtrttrrttrrrrttttrtrtrtrtttrttrttrrtrrtrttttrrrrrttttrrtrttttrrtrrrttttrrrrrrrrtttttttrrtrtrtrtrtttttrrttt"
85,196,"2.31",183000,"ctccrccrcrrcrtcrcccrrcrcrrrrtccccccrrcrrrrcccrrcrccccrcccccrrcrrrccrccrrcrrrrrccrcrrrcccrrrrrccrcrrtrcrrrrtcrtrcrtrrrrcccrcrccrrccrcrrccrrrrcrccccrrrrtrrrcrtrrrrrtcrrcrtrccrrtrcrrrtcrcrrtrrrrcrrcrrtrcrcrtrrrccrrtrrrccrrtrrcrtrtrrtrrrrrrrrcrtrrttrtrrrtrtrrttrrtrtrrtrtttrrrttrtttrrtttrrtrttrrrrrtttrtrrttrrrrtrrrrrtttrttrrtttrttrtrtrtrtttrrrtrrtrttttttrtrrttrrttrrttt"
86,202,"2.35",187000,"cccrrcrcccrrcrcrcccrrcrcrrcrrtrrcrtrrcrtcrrtrrcrtrcrrcrrrrcrrcccrcrrrccrcrcrcrccccrcrcrcrrcrrcrrrtrcrrrcrcrccrcrrccrrtcrcrrccrrcrrrrtcrrrcrrcrtrrtrrrcrcrccccrcrrcccccrrrrcrcrrrrcccrcrrrcrccrrrtccrrrcrcrtrccrrrtrrrrrrrrtrtrrrcrcrtrrrrrcrtrrttrtrtrrtrrrrtrrrrtrrtttrrrrrtttttrrtrrtrrrrttttttttrrtrtrrrrrtttrrrttttrttttttrtrtrrtrrtrrtttrrrtrtrtrttttrrtrrtttrtrrttrrttrrttrttrtt"
87,206,"2.37",190000,"cccrcrccrrcrcrrcccrrrccrrtrcrrtrrrcrccrrrcrccrrrccrrtrtrcccrrrrrccccccccrcrrrrrcrrrrtrcrccrrrcrrrcrccrrcrrcrtrcrtrrcrcrrcrrrccrrrcrcrtccrcccrcccrrrcrrrcrrrcrrrcrccrrtrrrccrrrrtrttrtcrcccccrrrrrtrccrcrrcrrrcrccrrcrtrrrcrrcrrrrcrcrrtrrrttrrrrtrrrcrtrtrrttrrtrttrrtrtrrtrtrtrtrrttttrtrrttrtrrrrtrrrttrrrtrtttttrrttrrrtrtrrrttrtrrrttrtrtttttrrrtrttrrrrttrrrtrtrtrtrttrrttttrtrrttttttt"
88,217,"2.47",196500,"ccrcrtcrcrrcrtrcrtcrccrcccrcrcrrcrrrrrccrcrcrrcrcrrtcrcrtcccrcrrrrrcrcrrrcccrrrrtrcrtrrcrcrcrrtcrcrtccrrccrrrrrrrcrcrrcrrttrrcccrrrrcrcrtcccrcrccrrrrrcrrrrrccrcrrccrcrcrrcrtrrcrrcrcrtrrrcrtrcrrcrtrrrrtcrrrrrrrcrcrrccrcrrrcrrrccrrcrtrrcrcrcrtrrrcrrtrrtrrrcrtrrrrcrtrrtrtrtrrtttrtrtrrrrrrtrttrtrrtrtrtrtrrtrttrttrtrtrtrrrtrttrrrtrtrtrrrtttrtttrrrrrrrrtttrrrrttttttrttttttttrrrtttrtrrrrtttrtrtttt"
89,203,"2.28",190500,"cccrrccrrccccccrcccrcccrcrcrcrcrrrcccrcrrcrrccrrrrrcrccrrccrrrcrcrrrrccrrccccrcrrcrcrrrcrccrrtrrrrrcrcrrccrcrrcrcrtcrrcrrcrrrccrrtrccrrtrrrcrcrrrrcrcrtcrcrcrrcrccrrccrrrtrrccrcccrrrcrcrcrrrcrtrrtccrcrrrrrtrcrrrrcrtrrrcrtrtrrtrrrrcrtrtrrtrrrrrttttttrrrtrrttttrrttrrrtrrttrrrttrtrtrrrrrrttrrtrrrtrrtttttrtrttrrtrrrtrrrrrtttrrtrttttrrttrttttrrrrtrrrtttttrttrttrrrrrttrtrttttttrrtttttt"
90,211,"2.34",195500,"ccrcrtrccrcrcrcrrccrccrrcrrtrrccrcrrcrtrccccrccccrrcrcrrrcccccrcrccrcrrrcrccrrcccrcrrrcccrrrrrcccrrrrcccrrrrrcrrccrrccrrrcrtrcccrrrrrrrcrrcrcrtrrcrtrrrcccrrccrrrcrtrrcrcrrtrtrcrccrrccrrcrrccrrrcrcrrcrtrccrcrrtrrrrrcrtrcrtrrrrtrrrrrrrrrrrrrcrtrtrtrtrrrtrtrrrrttrtrrrtrttttrrtrtrrrrrtrrrtttrrttttrttrtrrtttrtrttrtrttrtrtttrrttrrttrtrrtrttrrrrrtrrtttrrrtrttrtttttrtrrttrrttrtrrttrrtrtrtrrtttrtt"
91,196,"2.15",189000,"ctccrtcccrrcrrtcrcrcccrrcrrccrrtrrccrcccrrrrrrcrrtrttrccccrcrcrrcrrccccrccccrrrrccrcrrrrcrrcrccrccrcrrcrrrtrccccrrcrccrrrrrtccrrrcccrrrccrrrtccrrccrccccrrrccrrrrccrccrrrrccrrrccrrcrrcrccrrtccrrrcrrcrccrrcrrttrrrrrrtrrrttrrrrrrrrcrtrtrrtrttrrrrtrrrrtrrtrrrtttttrrtrtrrrttrtrtrttrrtttttrrrttrrttttrtrrrtrtttrttrttrrtrttrrttrrttrrrttrrtrtrttrttrrrttrttrrttrrttrtrrrtrrttrtttrtrrttt"
92,197,"2.14",190500,"ctctccrccrcccrrrcrrtrtcrcrcrtrrccrcccrrccrrrccrccrrrrcrcrccrrcrrcrcrrrccrccccccrrccccccrcrrrcrrcrrcrcrccccrrcrrcrcrcrccrrccrrcrrcrrcrrcrrrrrtrcrcccrrcrrtrrrrtrcrcccrrcccrrcrrcrrccrrtrrrccrrtrrcrcrrcrrcrrtrrcrrrcrrrcrtrrttrrrrcrtrtrrrtrttrttrrrttrttrrrtrtrrrttrtrrtrrtrrrrrrttrtrtrrtrrrtrttrrrrrtrrtrrtrtrrtttttttrrrrrrrtrrtrttttttrttrttttttrtrrtrtttrrtrrrrtrttrrtrttttrttrttttttttt"
93,203,"2.18",194500,"ccccrrcrccrccccrccrcrcrrrrccrccrccrccccrcrrrrrrrccccrrrcrccrcccrrrrrcrrcrcrrrttrcrcrrtccrrrtcrcrtrrcrccrrcrrcrrccrrcrcrrcrcrtcrccccrcrccrrcrrcrcrrcrrcrrrcrrcrccrrrcrrrccrcrrcrcrcrtrrrcrrtrccrrrrcrcrcrrrtrtcrrrccrccrrrcrtrrtrrrrcrtrtrtrtrrrrrttrrttrrttrtrtrrtttrrrrrrrtrtrtttrrttrtrttrtrrrrtrrrtrrrrrrtrrtrrrrrttrtttrttttrttttrtrrrttrrtrrrtrrrrtttrtttttttttrtttrrrrtttrtrtttrttttttrrrttrttt"
94,214,"2.28",201000,"ctccccrcrcrccrcrcccrrrccrcrccrrcrcrcrccrccrrccrrrccrrrrrrtcrtrccrcrrtrccrccrcrccrrrrrrrcrrcccrccrccrrcrcccrcrrrccrrrrrcccrcrcrcrrcrrcrccrcrrccrccrrrtrrrcrcrcrrrcrtccrrcrcrcrrrrtrcrtrrrrcrrcrcrcrrcrtccrcrrcrrtrrrrcrcrtrrrrrcrtrcrrttrrrrrrrrrrrcrtrtrtrrttrtrtrtrrrrttrttrttrrttrrrrtrrtttrrttrrrtttrttrrtrrrtrrttrrrrrttrtttrtrrtttrttrrrrrrtrrrrttttttrtrrrtttrrttrtttttrrrrtrttttttrrtrrtrtrtrrtrrttttrttrtt"
95,205,"2.16",197500,"ccrcrcrtrccccrcrcccccrrccrcrrrrrrccrcccrcrcrrrrrrrttrtttrcrtcrcrrrccrcrcrccrrrcrcrcrrccrrcccccrrcrrrrrtcrccrrcccrccrcrcrrrcrrcrccrrcrtrrrcrrrrccrrrrtcrrrcrrrrcrrtrcrtrcccrccrrccrrcccrcrrcrcrrccrrrcccrcccrrcrcccrrrrrrrrrcrtrcrcrrttrrrrrcrtrtrtrrrrrrrrttrtrrrttttrrtttrrrrrttttrttrtrrtrtrrrttrrrtrtrrtrtttrtrrttrrrrtrrttrrrtttttrtrrttttrttttttrrtrrrrrttrttrttrrrtrrtttttrttrtrrttrrrtrtttrtrttrtrtt"
96,237,"2.47",214500,"ccrccrrccrrcrtrccrrrrcrtrtccrrcrcrcrcrcrcrcrcrrrccrrtccrrccrcrrcrcrcrccrcrcrrrcrcrtcrrrcrrrccrrcrccrrrcrcrrttrrtrrrrccrrcrcrcrrtccrrtcrrrccrrrrrrccrrccrrrrrccrrrrrrcccrrrrrcrtrrcrtcrcrrcrtrrrcccrrcrrcccrrcrrtrcrccrrcrrrrcccrrcrccrrrtrcrrcrccrrcrtrcrrrrccrrtrrtrrtrtrtrrrrrrrrrrrrcrtrtrrttrrrtttrtrtrtrrrrttttrrtrttrtrrrrttrtrrttrttrrttrtrrtrtrrtttrttrrttrrttrrttrrrrrrtrttrrtrrrttttrrrrrrtrtttrrtrttttrtttrrrtrtttrtttrtrrrttttrtt"
97,227,"2.34",210500,"cccrcrrcrcrccrcrrccrrtrrccrcrrrrcrccrrcrtrrrcrrcrrcrcrcrcrtrcrrcrcrcrrcrrcrtcrrcrrccrrrtrcrrrcrtrccrccrrrrrcrtrrrrcrtcrcrrccrrccrrcrccrcrrtrrrccccrrrrccrcrrrcrcrcrrtrrcrtcrcrrtrrrcccrccrrrrcccrccrccccrrcrrcrrcrrrrccrcrrrrtcrtcrrtrcrcrrcrcrrrcrrrrcrcrcrrcrtrrrcrtrtrtrrrrrrrtrrtrrrrtrrrrtrrtttttttrtttrtttrtrrrttrttrrrtrrrrrrrtttrrrrttrrttrtrrtttrtrtrttrrttttttrrtttrrtrrttrttrrrrtrrttrrrttrrtrrtrtttttrrrrrtttrttttttttttt"
98,236,"2.41",216000,"ccccrrcrcrcccccccrccrrrcrrrrccccrrccrcrrrrcrrrrcrtrtccrrrrrrcrtcrrcrccccrrrrcrcrcrccrrrtcrtrcrcrrrrrrrrcrcrccrcrrcrtrrccrccrcrrcrrcrrrcrrcrtcrrcccccrrcrrrrrrcrtrrcrrrtrcrccrrcrtcrcrrrrrcrcrcrcrtcrcrrrrrcrrcrccrrrccrcrcrrcrtrrrrcrtrcrcrtrrrrttrrcrrrcrtrrrrcrrrtcrrcrrcrcrtrrrcrtrtrrrrrtttrrrrtrrrtrttrrrrrrttrtrrtrtrttrtrtrtrrrrtttttrtrrrtrrrttttrrrttrrttttttrttrtrtrrtrtttttrrrtrrttrrtttrrtrtrtrrtttrtrrtrrrttrrrrrtttttrtrtttttttrtt"
99,229,"2.31",213500,"ccrccrccccrcrrcrcrrrccrrcrrccrccrrrtrrttrrrrttrtcrcccrrrrcccrrcrcccrccrcccrcrrcrrrrrrccrrrcrrtrcrcrcrrtccrrtrcrcrccrrcrrrccrcccrrrrrcrtcrcrrrrtcrrrccrcrrrtcrcrrcrrrccrrrttrcrrtrrttrcrcccrrcrcccccrcrcrrrrcrrrcrtcrrrrtrrccrrcrrtrrrcccrrcrrcrcrtrcrrcrrcrrcrcrtrrtcrrrrrrrrrrrcrtrrcrtrtrrtrrtrrttrrttrrtrrttttrrrttrrtrrrtrtrrrrrtrttttrtttrrttrtrttrrttttrrrtttrtrtrrtrrrrttrtrtrrrrtrtttrrtrtrtrrrtttttrttrtttrrrrrtrtttrrttttrtrrtttt"
100,217,"2.17",208500,"ctctccrcrtrcrtcrccrcrrrttrcrcccrccrccccrrccrrcrrrrrrtcrrccrrrtrrccrrcccrrrcrcrtcrrccrrccrrrrrcrccrrcrcrcccrrrccrrcrtccccrrrrrcrrrcrrrrrcrcrrtccrrccrrccrrcccrrrrcrcrccrrccrrrtrcrcccccrcrrrccrcrccrcrrcrccrrrccrrrrrtrcrrcrcrtrcrrcrtrrrrrccrrcrcrtrrrtrrtrrrcrtrrttrrttrtrrrrrtrrrrrrttrrrrrrrrrttrrtrttrrrtrttrttrttrtrrttrtrrtrrtrttrrrttrtrtrtrttttttrttrttrttrtrttttrttrtttrtrrrtrtrrtttrrrrrtttrrttttrttrttrtrrrttttrrttrtt"
101,236,"2.34",219000,"cccrrcrcrtcrcrrrtrtcrtrtcrrccrcrrrttrtcrrcrcrtccrcrrrccrccrrrrcrtrcrrrrccrrcrtcrrcrrtccccrrcccrrcrrrrrcrtrccrrrtrrcrcrcrccrrcccrccrrccrrrcrrcrcrrrcrtrrtrrccccrrcccrrrrrcrtrcrcrrtccccrrrrrcrccccrrcrrrtrrrrcrcrcrcrrrtccrcccrcrcrcccrrrcrcrrrrtrrtcrtrrrrrrrcrcrrrrrrrrcrtrrtrrrrcrrccrrrcrtrtrrrcrtrtrrrtrrtrrtrttrrtrtttrtrrttrrtrtrtrrttrrrtrrrttrttrtttrtrrrtrrtrrrrrrtrrtrttrtrtttttrtrtrttrtrtrrtrtttrtrtrtrtrrrttrtrrrrrrttttrtrtttttttttrrttt"
