n,score,ratio,iterations,moves
47,106,"2.26",100000,"cccrrtccrrcrtrcrrcccrcrccrcrcrccrrrcrrrcrcrcrcccrcrcrrrtrcrrcrrrrtrccrrrcrcrrttcrccrrrrcrcccrrrcrtrrrrrcrtrrcrrtcrrccrrrcrrrcrtrtrtrrrrrrttttrttrrtrrrrtrrtrrtrtrrrttttttrrrttrrtrrttrttrtrrtrttttttrttt"
48,110,"2.29",100000,"ccrcccrcrccrrcrcrrrtccrccrrrrccrrcrtrrtrrcrccrrtrrrrcrrrrcccrrccrrrcrcrtrrrtrtrcrcrccccrcccrrrrcrrrrttrrrccrcrrrrtrtrrccrcrrrccrrrttcrrrcrtrtrrrrrtttrrtrttrtrrrrrtrttrttrttrtrtrtrrtrrttrtrtttrrtttrrtttrrttt"
49,110,"2.24",100000,"ctccrcrcrcrtrcrcrcrrccrrccrrrtcrtcrcrrrcrrcrtrrrcrrrtttrtrtrrrrcrcrtrccrrrcrtrrcrcrrccrrrcccrrrtrtrrrrcrtrtcrcrcrrcrcccrrrtcccrrrccrcrrrcrrrccrrcrrrrrtrttrrrttrtttttrrrrttrtrttrrrrttttrrtrrrtrttrtrttrrttttrtt"
50,112,"2.24",100000,"cccrrccrrccrcrcrcrrcccrccrrrrcrtrcrrrrcrtrcrrcrccrrtccrrrrcrcrtrcrccrrrrcccrrrrcccrcrrcrrcrcrcrrrttrccrrrrrcrccrrccrrrcrtrtrcrrrrtcrrtrtrrrrrtrrttrttttrrrrrtrrtrrtrrttrttrrrtttrttrtrttrrtrrtttttttrttrtrrttrrrtttt"
51,115,"2.25",100000,"ccrccrrcrccrrcrcrtcrrcrrrrccrrrttrcrccrcrrrtccrcrcrrtrrcccrrrrrcrcrtccrccrrrrrrccrrccrcrccrrrcrrccrrtrccrrtrrrrccrrrcrrrtcrcrrcrtrtcrrrrccrrtrrrrrrttrrtrrrtttrrrttttrtrttrtrtrrttrttrrrttrrrrtttrttrtrrttrttrtttrtrtrttt"
52,117,"2.25",100000,"cccrcrcrcrrttrrrccrcrrtcrcrcrccrrrtrtrcrccccrcrrrrtrrtrcrccrrrrcrrrrcrtccrrrcrtrcccrrccrrrrtcrrcrcccrrcrrtrcrrrrccrcrrcrtrrcrrtcrccrrrcrcrrcrrrcrtrtrrtrtrtrrtttrrtrrrrttrrrrrtrrrrrtrtttrrtrttrtttrrtrrtrttttrrrttttttrttttt"
53,122,"2.30",100000,"cccrrccrcrrcrcrcrtrcrccrcrrrrrcrtrcrcrrtccrcrrtcccccrrcrrccrrrrrrrrrcrccrrcrcrcrrtcrtrcrrrrcrrrtrcrcccrrrccrcrrrcrtrrccrrrcrrcrtrtcccrrrrcrrtrrrrtcrtrtrrrrrrrtrtrtrrrtttrtrrtrrtrtttrttrtrrrttrtrtrrtttttrtrttrrttttrrttrrtrtrtrttt"
54,121,"2.24",100000,"cccccrrrcrrcrtrccccrcrcrrrcrccrrccrrrtrrcccrrrcrcrrtrcccrcrrcrrtrcrccrcrrrcrcrccccrrrccrrccrrrtccccrcrcrrrcrrrrrcrtrrrrrcrrrrcrtrcrrtrrrrcrtrrtrrrttttrtrrttrrttrrrrtrttrtrrtrrrtrrttttrtrrrtttrrtrtrrrrtrtrttrttrttrrtrtrrrttttttttt"
55,126,"2.29",100000,"ccrcccrrrtrcrccrrtccrcrcccrrrcrcrccrrcrrcrrcrrtcrcrccrcrrrcrtrcrcrrtcrccrrtrrrrrrrrrccrrtccrrrrrcrrtccrcrrcrccrcrrcrtcrrrrrcrcrrcrrcrrrrrccrrrrtcrtccrrrtrrrtrttrtrtrrttrrtrrrtrrtrtrtrrrtttrtrtrtrtrttrrttrttrrrtrrrtttrtrrrtttrttttttrtttt"
56,127,"2.27",100000,"ccrttccccrrcrcrrcrccrcrcrcrrtcrcrrrcrcrccrrtcrccrrrrrcccrrrrrcrcrcrcrcrcrcrcrcrrtrcrtccrrrtrrcrccrrrrrrrrrrtrtrcccrrrccrrccrrrrcccrcccrcrrrrrtrrrrrcrrrtttrtrtrtrtrrrtrtrrrtttrttrrrrrtrttrtrtrtrtrtrtrtrrrtrtrtrtttrttrtrttrttrttrtrrttrtrrttt"
